case_id,agent_type,input_as_text,image_url,expected_source_mode,expected_source_domains,expected_confidence,expected_kcal,kcal_tolerance_pct,expected_protein_g,expected_fat_g,expected_carbs_g,region,criticality,notes
gen_01,log_meal,"2 яйца вкрутую",,fdc,fdc.nal.usda.gov,estimate_or_high,155,20,12.6,10.6,1.1,GLOBAL,high,"USDA hard-boiled egg 155/100g; 2 large = 100g."
gen_02,log_meal,"овсянка на воде из 60 г сухой овсянки",,fdc,fdc.nal.usda.gov,estimate_or_high,233,20,10.1,4.1,39.8,GLOBAL,high,"USDA oats dry 389/100g x 0.6."
gen_03,log_meal,"гречка отварная 200 г",,fdc,fdc.nal.usda.gov,estimate_or_high,184,20,6.8,1.2,39.9,CIS,high,"USDA buckwheat cooked 92/100g."
gen_04,log_meal,"куриная грудка гриль 150 г",,fdc,fdc.nal.usda.gov,estimate_or_high,248,20,46.5,5.4,0,GLOBAL,high,"USDA chicken breast roasted 165/100g."
gen_05,log_meal,"1 средний банан",,fdc,fdc.nal.usda.gov,estimate_or_high,105,30,1.3,0.4,27,GLOBAL,high,"USDA banana 89/100g; medium 118g."
gen_06,log_meal,"рис отварной 250 г",,fdc,fdc.nal.usda.gov,estimate_or_high,325,20,6.8,0.7,70.5,GLOBAL,high,"USDA white rice cooked 130/100g."
gen_07,log_meal,"греческий йогурт 170 г",,fdc,fdc.nal.usda.gov,estimate_or_high,165,30,15.3,8.5,6.6,GLOBAL,medium,"USDA greek yogurt whole ~97/100g."
gen_08,log_meal,"1 среднее яблоко",,fdc,fdc.nal.usda.gov,estimate_or_high,95,30,0.5,0.3,25,GLOBAL,high,"USDA apple 52/100g; medium 182g."
gen_09,log_meal,"лосось запечённый 120 г",,fdc,fdc.nal.usda.gov,estimate_or_high,247,25,26.5,14.9,0,GLOBAL,high,"USDA Atlantic salmon farmed cooked 206/100g."
gen_10,log_meal,"картофель отварной 300 г",,fdc,fdc.nal.usda.gov,estimate_or_high,261,20,5.7,0.3,60.3,CIS,high,"USDA boiled potato 87/100g."
gen_11,log_meal,"салат из огурцов и помидоров с 1 ст.л. оливкового масла",,fdc,fdc.nal.usda.gov,estimate_or_high,161,35,1.7,14,8,CIS,medium,"Composite: cucumber 100g + tomato 150g + oil 13.5g."
gen_12,log_meal,"макароны отварные 200 г с 10 г сливочного масла",,fdc,fdc.nal.usda.gov,estimate_or_high,388,25,11.7,9.9,61.9,CIS,medium,"USDA pasta cooked 158/100g + butter 717/100g."
gen_13,log_meal,"борщ 300 мл",,fdc_or_estimate,,estimate_or_high,160,40,4.5,6,13,CIS,medium,"RU dish 40-70 kcal/100ml -> 120-210; honest estimate ok."
gen_14,log_meal,"3 сырника",,fdc_or_estimate,,estimate_or_high,380,45,18,18,36,CIS,medium,"RU dish; expect LLM fallback; ~120-130 each."
gen_15,log_meal,"стакан кефира 250 мл 2.5%",,fdc_or_estimate,,estimate_or_high,125,30,7.3,6.3,10,CIS,medium,"RU kefir 2.5% ~50/100ml; USDA lowfat kefir 41/100."
