case_id,agent_type,input_as_text,image_path,expected_source_mode,expected_source_domains,expected_confidence,expected_kcal,kcal_tolerance_pct,region,criticality,notes
photo_01,photo,,evals/agent_v2/datasets/photos/real/photo_01.jpg,label,,estimate,273,30,CIS,high,"Сырники Азбука life, этикетка: 272.7 kcal / 140 g (порция = упаковка 2 шт). Идеал: прочитать этикетку."
photo_02,photo,,evals/agent_v2/datasets/photos/real/photo_02.jpg,label,,estimate,441,25,CIS,high,"Скриншот Яндекс Еды: Салат Нисуаз 380 г, 116 kcal/100 g -> 440.8 всего. Идеал: читать цифры с экрана."
photo_03,photo,,evals/agent_v2/datasets/photos/real/photo_03.jpg,brand_visible,,estimate,310,45,CIS,medium,"President Сузбесi 0.1% 450 г (KZ, обезжиренный творог/сузбе). ~65-70 kcal/100g -> ~300 за пачку. КБЖУ на фото нет."
photo_04,photo,,evals/agent_v2/datasets/photos/real/photo_04.jpg,label,,estimate,203,30,CIS,high,"Овощной салат с брынзой и травами 300 г Уже Готово. Этикетка: 67.6 kcal/100g -> 202.8. Контейнер почти пуст — важно читать этикетку."
photo_05,photo,,evals/agent_v2/datasets/photos/real/photo_05.jpg,brand_visible,,estimate,166,35,CIS,medium,"TEOS йогурт натуральный питьевой 260 г (13 г белка на бутылку). ~64 kcal/100g -> ~166."
photo_06,photo,,evals/agent_v2/datasets/photos/real/photo_06.jpg,brand_visible,,estimate,220,35,CIS,medium,"TEOS греческий йогурт черника 250 г (18 г белка). ~88 kcal/100g -> ~220."
photo_07,photo,,evals/agent_v2/datasets/photos/real/photo_07.jpg,generic,fdc.nal.usda.gov,estimate,480,35,GLOBAL,high,"Боул: курица, булгур, нут, брокколи, черри. Оценка ~480 (350-650)."
photo_08,photo,,evals/agent_v2/datasets/photos/real/photo_08.jpg,label,,estimate,372,35,CIS,high,"Два продукта: сырники (272.7/140g) + Exponenta HIGH-PRO (этикетка: 99 kcal/160g). Сумма ~372. Проверка мульти-продукта."
photo_09,photo,,evals/agent_v2/datasets/photos/real/photo_09.jpg,generic,fdc.nal.usda.gov,estimate,280,45,CIS,medium,"Творог рассыпчатый ~180 г с изюмом и курагой. ~280 (200-400)."
photo_10,photo,,evals/agent_v2/datasets/photos/real/photo_10.jpg,generic,fdc.nal.usda.gov,estimate,300,40,GLOBAL,medium,"Салат: авокадо (~целый), томаты, огурцы, руккола, семечки. ~300."
photo_11,photo,,evals/agent_v2/datasets/photos/real/photo_11.jpg,label,,estimate,400,45,CIS,medium,"Этикетка Q Coffee Shop: сливочный скрэмбл с салатом из креветок и авокадо (состав без массы). ~400."
photo_12,photo,,evals/agent_v2/datasets/photos/real/photo_12.jpg,generic,fdc.nal.usda.gov,estimate,400,45,CIS,medium,"Тот же скрэмбл с креветками и авокадо — вид блюда без этикетки. ~400."
photo_13,photo,,evals/agent_v2/datasets/photos/real/photo_13.jpg,brand_visible,,estimate,190,30,CIS,medium,"SNAQ FABRIQ SNAQER Dubai Trend (фисташка-кунафа) 45 г, протеиновое печенье в шоколаде. ~185-200."
photo_14,photo,,evals/agent_v2/datasets/photos/real/photo_14.jpg,label,,estimate,192,25,CIS,high,"Набор для овощной окрошки 300 г (Лавка). Этикетка: 64 kcal/100g -> 192."
photo_15,photo,,evals/agent_v2/datasets/photos/real/photo_15.jpg,label,,estimate,390,40,CIS,medium,"Два продукта: салат брынза/травы 300 г (202.8 по этикетке) + филе цыплёнка су-вид Азбука вкуса (~190). Сумма ~390."
